,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
33,0.291,0.0,0.0,0.0,0.0,0.14,0.0,0.149,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.33,0.0,0.03,0.0,0.0,84.0
34,0.625,0.0,0.0,0.0,0.275,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6
35,0.6293000000000001,0.0047,0.1285,0.0472,0.0117,0.0,0.0,0.1618,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.00000000000001
36,0.6778,0.0,0.0652,0.0503,0.0666,0.0,0.0,0.1002,0.0148,0.0,0.0250999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
37,0.6169,0.037,0.1119,0.1199,0.092,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,83.1
39,0.6262,0.0,0.103,0.025,0.045,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
40,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5
41,0.592,0.0,0.004,0.0949999999999999,0.1539999999999999,0.0,0.0,0.032,0.0329999999999999,0.0429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469999999999999,0.0,0.0,91.0
42,0.6521347865213479,0.086991300869913,0.0434956504349565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173782621737826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.70000076293945
43,0.65,0.0,0.0289999999999999,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.20000000000002
44,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.23
45,0.6093609360936093,0.0269026902690269,0.049004900490049,0.0465046504650465,0.0111011101110111,0.0,0.1045104510451045,0.0605060506050605,0.0133013301330133,0.0,0.0,0.0,0.0,0.0,0.0,0.0547054705470547,0.0,0.0101010101010101,0.0044004400440044,0.0,88.0
46,0.6222,0.0,0.083,0.0088,0.0755,0.0138,0.0,0.0626,0.03,0.0,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.0258,0.0,0.0,80.0
47,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,66.0
48,0.6990000000000001,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.30000305175781
49,0.642,0.0,0.108,0.0,0.0,0.0,0.16,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,85.0
50,0.6416,0.0645,0.1116,0.091,0.0913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79999999999998
51,0.64,0.0,0.09,0.0,0.0,0.0,0.16,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,84.0
52,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5
53,0.6990000000000001,0.0,0.15,0.025,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9000015258789
54,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.50000000000001
